"N1+にに応じて
N1+に応じて+N2"	"Tùy theo.../
Tương ứng với..."	Tuỳ theo N phía trước mà chủ thể làm gì đó cho phù hợp, tương ứng với N.	"1. 言語レベル応じて、クラス分けを行う。
2. 収入に応じて一人一人が払う税額は変化する。"
"Vた / N の + 末(に)
(〜すえに)"	Cuối cùng thì.../ Kết quả là...	"Sau khi đã rất.../ làm trong 1 thời gian dài... thì kết quả là/ cuối cùng thì...
Kết quả có thể tốt hoặc xấu đều được."	悩んだ末、その試験を受けると決めた。
V(bỏます) + そうになる	Suýt nữa thì V	Tình huống nằm ngoài tầm kiểm soát của chủ thể hành động, và đã đến trạng thái suýt soát xảy ra.	何度も諦めそうになったが、その度に周りに励ましてもらって、頑張ることができた。
"Vる
Vない        +         ところだった"	Suýt nữa thì V/ không V	Sắp sửa xảy ra điều gì đó, thường là những trạng thái không tốt.	危ない!もう少しで車とぶつかるところだった。
N + につきまして( は )	Về/Liên quan đến N...	"Cách nói lịch sự của「~については」
Sử dụng môi trường kinh doanh, thông báo"	当店での飲食につきましては、ペットボトルなどの蓋つきの容器に入った飲み物以外、ご遠慮いただいております。
N ( +助詞 ) + すら	Ngay cả.../Đến cả...	"Nhấn mạnh vào mức độ: ngay đến cả... cũng...
Ý nghĩa giống với: も、さえ"	日本人すらほとんど使わない言葉を、留学生である彼が学ぶ必要はあるのだろうか。
"N1 +に向けて
N1 +に向けての N2
N1 +に向けた N2"	Hướng đến N	"1. Biểu thị phương hướng di chuyển hoặc điểm đến.
2. Biểu thị đối tượng tiếp nhận lời nói hoặc thông tin.
3. Biểu thị mục tiêu của hành động."	今すべきことは、ただ留学に向けて日本語の勉強を頑張るのみだ。
Vる/A1/N1 + やら + Vる/A2/N2 + やら	"Vừa... vừa.../
Nào là... nào là..."	"Liệt kê ra những hành động, tính chất, sự việc giống nhau .
Mang một chút cảm xúc tiêu cực vì nhiều quá.
Cách nói khác của: や~など、とか~とか、..."	母はいつも、掃除をするやら買い物に行くやら忙しい。
V(bỏます) + ぬく	Làm tới cùng/ nỗ lực tới cùng để hoàn thành	"Thể hiện việc thực hiện, tiến hành điều gì đó đến cùng, cố gắng đến cùng.
Các động từ đứng trước Thường dùng với các động từ như: 生きる、頑張る、 守る、やる、耐える、考える、悩む、苦しむ、..."	彼は 3 年間、いじめに耐えぬいた。
V(bỏます) + 得る	Có khả năng.../ Có thể...	"Có khả năng/có thể xảy ra/thực hiện hành động gì đó.
Không dùng để biểu thị năng lực."	人生は長い、どんなことだって起こり得るんだ。
"Vよう + ではないか
Vよう + じゃないか
Vよう + ではありませんか"	Hãy cùng nhau V đi!	"“Hãy cùng ~ nào”.
Dùng khi đáp lại lời khiêu khích của đối phương."	悩んだ時はお互い助け合おうではありませんか。
"Vる / Vない     + ようじゃ/ようでは
V ている"	Nếu... như thế này thì...	"Nhấn mạnh ý: Nếu cứ duy trì trạng thái như thế này, thì là không tốt.
Là câu thường dùng để khuyên, nhắc nhở đối phương, "	悩んだ時はお互い助け合おうではありませんか。
Vようか...Vるまいか	Làm... hay là không...	"Dùng khi bản thân người nói phân vân, đắn đo.
Dùng cho ngôi số 3 thì cần thêm: らしい、ようだ、のだ ở cuối câu."	春休みに、実家に帰省しようか、すまいか、考えている。
Vる/Vない+ ようになっている	(Chức năng của...)	Thường được sử dụng khi giải thích về máy móc hoặc một hệ thống, cơ chế hoạt động nào đó.	このスマートフォンは、子供が今どこにいるかわかるようになっている。
Vて + こそ / こそのN / こそだ	chỉ khi V thì mới....	"Diễn tả chỉ khi hành động ở vế trước こそ được thực hiện thì vế sau mới xảy ra.
Nếu vế trước không xảy ra, thì vế sau cũng không thể có."	何でも言い合うことができてこそ、本当の友達と言えるのではないか。
"V ば
A(bỏい)ければ   + こそ
A(bỏな)であれば
N であれば"	chính vì...(nên mới)	Nhấn mạnh vào nguyên nhân được đề cập đến ở vế trước.	健康であればこそ、自分お好きなことが年を取っても実現できます
N + にほかならない	"Chắc chắn là.../
Chỉ có thể là.../
Không gì khác ngoài.../"	Đưa ra kết luận, khẳng định mạnh mẽ chắc chắn là như vậy.	決めたことを投げ出すなんて、無責任にほかならない
"Vた ( +という )
A い*                                 + ことにする
A なだという
N( だ ) という
-------------------------
N/A な + だった ( という ) ことにする"	Vờ như/ Coi như...	"Diễn tả một việc bị xem như là sự thật, dù thực tế không phải vậy.
*Cách kết hợp với Aい không phổ biến nên đôi khi có thể tạo cảm giác không tự nhiên."	昨日の飲み会で上司に失礼なことを言ってしまったが、酔っぱらっていたことにしよう
"普通形 
Aな                   +           だけましだ
Nである"	... là tốt rồi/ là được rồi	“Dù sao thì cũng còn đỡ hơn…”, “Cũng tạm được…”, “Còn may là…”	今日も忙しくて夕飯はパンだけだったが、食べられるだけましだ。昨日は食べる時間もなかった
"N / Vる + に先立って
(さきだって)"	Trước khi...	Dùng để nói “chuẩn bị trước cho một việc quan trọng sắp diễn ra.	会議に先立ち、資料を各席に用意する。
N+から見て / から見れば / から見ると	Nhìn từ góc độ...	Dùng để đưa ra phán đoán, đánh giá của người nói	親から見れば、子供は何歳になっても子供だ。
N + からして (1)	Ngay cả/ ngay từ...	“Ngay từ ví dụ cơ bản này đã thấy… nên chắc các trường hợp khác cũng sẽ…”,	この部屋は壁の汚れからして、掃除していないことがわかる
N + からして (2)	Xét từ góc độ.../ xét về mặt...	Dùng để phán đoán, đánh giá dựa trên dấu hiệu hay cơ sở cụ thể.	彼女の悲しそうな顔からして、失恋していると思う
"普通形
N(であるの)   + かというと / かといえば
Aな(の)"	Nếu để mà nói... thì...	"1.Dùng để đính chính, phủ định suy nghĩ của người khác
2.Dùng để trả lời nghi vấn ngay vế trước"	"1. まずくはないが、おいしいかと言えば、そうでもない。
2. どうして日本語を勉強しているかというと、日本語でアニメを見たいからだ。"
N/A(bỏな)/A(bỏい) + ぶる	Tỏ vẻ.../ ra vẻ...	"〜ぶる dùng để diễn tả thái độ, dáng vẻ mà một người tỏ ra hoặc giả vờ thể hiện.
Thường hàm chứa cảm xúc tiêu cực của người nói, kiểu chê bai, khó chịu với thái độ đó."	彼女は大人ぶってたばこを吸い始めたが、無理をしているようにしか見えない。
"普通形1                    普通形２
A1(bỏな)(である) + にしても + A2(bỏな)(である) + にしても
N1(である)                  N2(である)"	"Dù... hay...
thì cũng..."	"Chủ yếu đưa ra 2 trường hợp mà dù là trường hợp nào thì vế sau vẫn không thay đổi.
*Cách kết hợp với「にしろ」「にせよ」hoàn toàn tương tự."	楽にせよ大変にせよ、自分で決めた仕事だから、絶対諦めない
"N
Vたの + を契機 (に/として)
Vるの"	"Nhân dịp.../
lấy... làm cơ hội..."	Dùng để diễn tả “lấy sự kiện/tình huống gì đó làm cơ hội, bước ngoặt để thay đổi hoặc bắt đầu một việc gì đó”	このイベントを契機として、お互いの文化を知っていけたらいいなと思います
